m_urn,age,gender,ethnicity,nationality,n_followers
urn:li:member:87900259,24,Male,Asian,celtic_english,531
urn:li:member:1170646,45,Male,White,hispanic,534
urn:li:member:3708571,27,Male,White,european,2840
urn:li:member:3011477,38,Male,White,south_asian,799
urn:li:member:6559429,49,Male,White,south_asian,0
urn:li:member:1769263,53,Male,White,south_asian,1105
urn:li:member:115927745,42,Female,Asian,east_asian,1366
urn:li:member:167572299,53,Male,White,european,531
urn:li:member:1622080,31,Female,White,celtic_english,821
urn:li:member:8226337,46,Male,White,european,2460
urn:li:member:126765,57,Male,Asian,celtic_english,1790
urn:li:member:11776141,60,Male,White,african,1951
urn:li:member:11986884,37,Male,Black,european,1007
urn:li:member:5093822,55,Female,Asian,hispanic,245
urn:li:member:23091867,33,Female,White,south_asian,2178
urn:li:member:7648983,43,Male,White,nordic,667
urn:li:member:101285865,16,Female,Asian,east_asian,623
urn:li:member:64507948,45,Female,White,european,520
urn:li:member:3754628,51,Male,Asian,celtic_english,409
urn:li:member:27376269,47,Female,White,celtic_english,1223
urn:li:member:20451871,53,Female,White,celtic_english,1441
urn:li:member:73883763,33,Male,White,celtic_english,1779
urn:li:member:87612553,30,Male,Asian,south_asian,193
urn:li:member:10237657,55,Female,White,nordic,510
urn:li:member:10340092,48,Male,White,hispanic,902
urn:li:member:12040217,30,Male,White,european,238
urn:li:member:13281770,36,Female,White,south_asian,1158
urn:li:member:12096512,47,Female,White,european,238
urn:li:member:169556998,35,Female,Black,south_asian,552
urn:li:member:9596372,58,Male,White,celtic_english,1999
urn:li:member:7883220,35,Male,Asian,east_asian,509
urn:li:member:55669126,28,Male,Asian,celtic_english,399
urn:li:member:69527896,50,Male,White,celtic_english,356
urn:li:member:169450597,43,Male,Black,european,198
urn:li:member:140892078,50,Male,White,celtic_english,139
urn:li:member:6373233,40,Male,White,celtic_english,1923
urn:li:member:57142876,42,Male,White,south_asian,999
urn:li:member:152989546,27,Female,Asian,celtic_english,257
urn:li:member:17941297,29,Male,White,celtic_english,315
urn:li:member:37460871,39,Female,White,south_asian,262
urn:li:member:45477965,46,Male,White,south_asian,259
urn:li:member:13407776,33,Male,White,celtic_english,1446
urn:li:member:109580443,41,Male,White,south_asian,983
urn:li:member:46235362,49,Female,White,celtic_english,518
urn:li:member:13450979,44,Female,Asian,south_asian,889
urn:li:member:81241607,44,Male,Asian,east_asian,916
urn:li:member:156385374,38,Male,Asian,east_asian,529
urn:li:member:3682692,53,Female,White,european,749
urn:li:member:768519,52,Female,White,celtic_english,1185
urn:li:member:260596625,32,Male,Asian,east_asian,509
urn:li:member:22882656,30,Male,White,south_asian,780
urn:li:member:2640681,39,Female,Asian,celtic_english,2227
urn:li:member:1313005,67,Male,White,nordic,323
urn:li:member:39712760,44,Male,Asian,muslim,3230
urn:li:member:75022997,33,Male,Asian,east_asian,762
urn:li:member:609392,47,Male,Asian,east_asian,697
urn:li:member:8903167,39,Female,White,celtic_english,0
urn:li:member:6386477,58,Male,White,celtic_english,200
