m_urn,emo_anger,emo_disgust,emo_fear,emo_happiness,emo_neutral,emo_sadness,emo_surprise
urn:li:member:3510054,1.3,0.054,0.016,94.969,0.016,3.628,0.016
urn:li:member:12731123,0.001,0.006,0.001,99.293,0.002,0.656,0.041
urn:li:member:52628133,0.0,0.0,0.0,100.0,0.0,0.0,0.0
urn:li:member:49462897,0.001,0.013,0.0,5.305,94.663,0.0,0.017
urn:li:member:128035102,2.135,0.095,0.046,4.016,93.204,0.441,0.063
urn:li:member:13541729,0.048,0.022,0.022,94.124,5.529,0.022,0.232
urn:li:member:47371769,0.044,21.255,0.156,74.041,4.381,0.08,0.044
urn:li:member:4514075,0.0,0.001,0.0,99.999,0.0,0.0,0.0
urn:li:member:2129868,0.0,0.0,0.0,99.998,0.002,0.001,0.0
urn:li:member:2815948,0.003,0.119,0.013,99.862,0.001,0.001,0.001
urn:li:member:9172227,3.871,0.111,0.111,85.272,7.35,3.173,0.111
urn:li:member:7427550,0.007,0.198,0.766,97.031,1.398,0.592,0.007
urn:li:member:38928551,0.007,0.007,0.007,52.601,47.009,0.028,0.34
urn:li:member:212350190,0.0,0.0,0.0,100.0,0.0,0.0,0.0
urn:li:member:23173346,0.044,1.275,6.593,91.115,0.884,0.044,0.044
urn:li:member:65994374,0.0,0.0,0.005,99.995,0.0,0.0,0.001
urn:li:member:299332852,0.0,0.0,0.001,99.994,0.0,0.004,0.0
urn:li:member:3459716,0.169,4.141,10.844,1.645,0.225,82.338,0.638
urn:li:member:170309,1.601,1.149,0.092,5.925,91.0,0.092,0.141
urn:li:member:192263,0.016,0.019,0.016,0.024,34.519,0.016,65.391
urn:li:member:75098244,0.0,0.001,0.001,99.998,0.0,0.0,0.0
urn:li:member:38844529,0.002,0.0,0.0,99.996,0.0,0.001,0.002
urn:li:member:1071514,0.0,0.0,0.0,99.995,0.0,0.0,0.005
urn:li:member:63175832,0.024,0.018,0.018,80.719,18.981,0.222,0.019
urn:li:member:41798239,0.001,0.0,0.0,0.0,99.999,0.0,0.0
urn:li:member:160656546,0.001,0.028,0.004,99.846,0.107,0.002,0.012
urn:li:member:6833316,0.001,0.002,0.001,99.902,0.003,0.091,0.001
urn:li:member:60228832,0.015,0.028,0.003,0.008,99.58,0.364,0.003
urn:li:member:191175645,0.0,0.0,0.0,99.956,0.0,0.044,0.0
urn:li:member:244984318,6.517,0.251,32.458,0.369,31.945,28.319,0.141
urn:li:member:106192296,0.005,0.005,0.305,99.457,0.005,0.005,0.22
urn:li:member:95305369,0.001,0.001,0.038,99.766,0.003,0.001,0.189
urn:li:member:253031702,0.001,0.298,0.001,87.759,11.937,0.002,0.001
urn:li:member:91817050,0.003,0.022,0.036,99.811,0.079,0.046,0.003
urn:li:member:59741127,0.023,0.002,0.002,0.003,99.964,0.006,0.002
urn:li:member:45973067,0.0,0.0,0.252,99.747,0.0,0.001,0.0
urn:li:member:70230848,0.002,0.002,0.002,96.417,3.57,0.002,0.002
urn:li:member:6227101,0.487,0.015,0.009,0.566,98.776,0.137,0.009
urn:li:member:275654667,0.0,0.0,0.0,99.998,0.0,0.002,0.0
urn:li:member:3723255,0.0,0.001,0.0,99.998,0.0,0.0,0.0
urn:li:member:124812404,0.0,0.001,0.0,99.999,0.0,0.0,0.0
urn:li:member:158626723,0.003,0.19,0.28,99.497,0.003,0.003,0.024
urn:li:member:177515028,0.0,0.0,0.0,99.989,0.01,0.0,0.0
urn:li:member:48673006,2.765,1.434,0.321,7.576,87.708,0.098,0.098
urn:li:member:6698728,0.004,0.001,0.001,99.461,0.439,0.093,0.001
urn:li:member:6321947,0.0,0.001,0.0,93.238,6.76,0.0,0.0
urn:li:member:23603575,0.0,0.0,0.0,99.951,0.001,0.046,0.0
urn:li:member:173180757,0.003,0.003,0.003,89.792,8.659,1.307,0.232
urn:li:member:24358,1.48,0.086,0.222,11.345,86.689,0.086,0.093
urn:li:member:18413262,0.03,0.03,0.03,94.917,2.2,2.752,0.043
urn:li:member:63414273,0.01,0.005,0.005,0.214,99.736,0.024,0.007
urn:li:member:265509366,0.068,0.068,28.155,14.033,52.031,5.534,0.11
urn:li:member:100714765,0.023,0.035,0.006,96.458,3.467,0.006,0.006
urn:li:member:153295878,0.0,0.0,0.0,100.0,0.0,0.0,0.0
urn:li:member:23827092,98.826,0.058,0.479,0.027,0.498,0.107,0.005
urn:li:member:597414,0.002,0.027,0.002,99.94,0.007,0.02,0.002
urn:li:member:2959305,0.701,0.02,0.02,97.471,0.022,1.74,0.027
urn:li:member:132382950,0.0,0.011,0.0,0.011,99.923,0.0,0.054
urn:li:member:6167570,0.006,0.002,0.004,0.002,99.877,0.015,0.095
urn:li:member:12198281,0.006,0.005,0.001,0.293,99.691,0.003,0.001
urn:li:member:358863765,0.061,0.005,0.013,77.086,22.825,0.005,0.005
urn:li:member:164811647,0.011,0.004,0.003,99.917,0.003,0.054,0.008
urn:li:member:121947669,0.0,0.0,0.0,99.996,0.004,0.0,0.0
urn:li:member:12394907,0.0,0.0,0.001,99.995,0.0,0.003,0.0
urn:li:member:2880111,0.0,0.0,0.0,100.0,0.0,0.0,0.0
urn:li:member:8884628,0.079,0.003,0.194,99.706,0.004,0.003,0.012
urn:li:member:32583331,0.001,0.027,0.001,98.763,1.194,0.011,0.001
urn:li:member:18997078,0.009,4.446,0.009,91.218,4.301,0.009,0.009
